source_parent_role_id,target_esco_code,target_esco_title,premerge_masco_code,masco_code,sparsity_action,total_examples,train_examples,val_examples,test_examples,premerge_masco_title,model_masco_title,model_masco_code_printed,crosswalk_method,crosswalk_authority,review_status
R03,2423.6,recruitment consultant,242321,242321,retained_granular_class,44,35,6,3,Talent Acquisition Consultant,Talent Acquisition Consultant,2423-21,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.1,advertising copywriter,243101,243135,merged_to_six_digit_curated_anchor,3,2,1,0,Advertising Executive Account,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.10,marketing consultant,243110,243110,retained_granular_class,11,7,3,1,Marketing Communications Specialist,Marketing Communications Specialist,2431-10,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.10.2,eBusiness manager,243121,243121,retained_granular_class,1,1,0,0,Business Development Executive,Business Development Executive,2431-21,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.10.3,marketing assistant,243136,243136,retained_granular_class,31,23,6,2,Marketing Officer,Marketing Officer,2431-36,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.10.4,online marketer,243135,243135,retained_granular_class,35,30,2,3,Digital Marketing Executive,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.11,market research analyst,243107,243135,merged_to_six_digit_curated_anchor,3,2,0,1,Market Research Analyst,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.13,network marketer,243135,243135,retained_granular_class,4,4,0,0,Digital Marketing Executive,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.14,pricing specialist,243108,243135,merged_to_six_digit_curated_anchor,2,2,0,0,Sales Specialist,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.15,product and services manager,243114,243135,merged_to_six_digit_curated_anchor,3,3,0,0,Trade Product Specialist,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.16,promotion assistant,243103,243135,merged_to_six_digit_curated_anchor,4,3,1,0,Sales Promotion Officer,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.3,advertising specialist,243101,243135,merged_to_six_digit_curated_anchor,1,1,0,0,Advertising Executive Account,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.4,brand manager,243123,243135,merged_to_six_digit_curated_anchor,4,4,0,0,Product Brand Executive,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.5,business developer,243121,243121,retained_granular_class,13,9,2,2,Business Development Executive,Business Development Executive,2431-21,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.6,client relations manager,243121,243121,retained_granular_class,22,20,1,1,Business Development Executive,Business Development Executive,2431-21,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R04,2431.7,creative director,243101,243135,merged_to_six_digit_curated_anchor,2,1,0,1,Advertising Executive Account,Digital Marketing Executive,2431-35,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R05,2643.2,interpreter,283303,283303,retained_granular_class,15,11,2,2,Interpreter,Interpreter,2833-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R05,2643.4,linguist,283304,283302,merged_to_six_digit_curated_anchor,1,1,0,0,Philologist,Translator,2833-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R05,2643.4.1,lawyer linguist,283304,283302,merged_to_six_digit_curated_anchor,2,2,0,0,Philologist,Translator,2833-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R05,2643.5,sign language interpreter,283306,283302,merged_to_six_digit_curated_anchor,2,2,0,0,Sign Language Interpreter,Translator,2833-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R05,2643.6,translator,283302,283302,retained_granular_class,6,6,0,0,Translator,Translator,2833-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R05,2643.6.1,localiser,283302,283302,retained_granular_class,1,1,0,0,Translator,Translator,2833-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R05,2643.6.2,subtitler,283307,283302,merged_to_six_digit_curated_anchor,1,0,0,1,Subtitler,Translator,2833-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.1,3D modeller,254307,254302,merged_to_six_digit_curated_anchor,3,3,0,0,Virtual Environment Designer,Graphic Designer,2543-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.10,illustrator,254308,254302,merged_to_six_digit_curated_anchor,1,1,0,0,Creative Designer,Graphic Designer,2543-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.11,performance lighting designer,254308,254302,merged_to_six_digit_curated_anchor,1,1,0,0,Creative Designer,Graphic Designer,2543-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.12,performance video designer,254308,254302,merged_to_six_digit_curated_anchor,1,0,1,0,Creative Designer,Graphic Designer,2543-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.14,stop-motion animator,254309,254309,retained_granular_class,9,9,0,0,Character Designer,Character Designer,2543-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.2,animation layout artist,254309,254309,retained_granular_class,1,1,0,0,Character Designer,Character Designer,2543-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.3,animator,254309,254309,retained_granular_class,3,3,0,0,Character Designer,Character Designer,2543-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.4,desktop publisher,254306,254302,merged_to_six_digit_curated_anchor,4,4,0,0,Publication Designer,Graphic Designer,2543-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.5,digital artist,254316,254316,retained_granular_class,3,2,0,1,Digital Designer,Digital Designer,2543-16,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.6,digital games designer,254316,254316,retained_granular_class,1,0,1,0,Digital Designer,Digital Designer,2543-16,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.7,digital media designer,254316,254316,retained_granular_class,9,8,0,1,Digital Designer,Digital Designer,2543-16,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R06,2166.9,graphic designer,254302,254302,retained_granular_class,39,31,4,4,Graphic Designer,Graphic Designer,2543-02,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R07,4311.1,billing clerk,431118,431118,retained_granular_class,36,29,6,1,Billing Clerk,Billing Clerk,4311-18,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R07,4311.2,sales support assistant,431110,431110,retained_granular_class,58,51,4,3,Account and Promotion Clerk,Account and Promotion Clerk,4311-10,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R08,4222.1,customer contact centre information clerk,422207,422207,retained_granular_class,29,25,2,2,Customer Contact Centre Information Clerk,Customer Contact Centre Information Clerk,4222-07,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R09,4120.1,secretary,412107,412107,retained_granular_class,60,44,8,8,Secretary,Secretary,4121-07,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.1,academic advisor,231109,231109,retained_granular_class,5,5,0,0,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.10,instructional designer,231109,231109,retained_granular_class,2,2,0,0,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.11,learning mentor,231109,231109,retained_granular_class,11,9,2,0,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.14,tutor,231109,231109,retained_granular_class,7,6,0,1,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.2,academic support officer,231109,231109,retained_granular_class,5,3,2,0,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.3,admissions coordinator,231109,231109,retained_granular_class,1,0,0,1,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.4,assessor of prior learning,231109,231109,retained_granular_class,3,2,0,1,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.5,assistive technologist,231109,231109,retained_granular_class,2,1,1,0,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.6,e-learning architect,231109,231109,retained_granular_class,1,1,0,0,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.7,e-learning developer,231109,231109,retained_granular_class,7,5,1,1,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.8,educational counsellor,231109,231109,retained_granular_class,2,2,0,0,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R10,2359.9,further education teacher,231109,231109,retained_granular_class,4,3,0,1,Tutor,Tutor,2311-09,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
